SAMPLE NO,BoreHole,Horizon,BoreHole-Horizon,DEPTH(m),WET TAR WEIGHT %,DRY TAR WEIGHT %
10/01,10,X,10X,3-4,12.00,9.50
10/02,10,X,10X,4-5,8.50,8.50
10/03,10,X,10X,5-6,9.50,9.50
10/04,10,X,10X,6-7,10.00,10.00
10/05,10,X,10X,7-8,9.50,9.50
10/06,10,X,10X,8-9,8.50,3.50
10/07,10,X,10X,9-10,12.00,7.00
10/08,10,X,10X,10-11,10.00,7.50
10/09,10,X,10X,11-12,22.00,2.00
10/10,10,X,10X,12-13,41.00,31.00
10/11,10,X,10X,13-14,10.00,7.25
10/12,10,X,10X,14-15,9.50,7.00
10/13,10,X,10X,15-16,16.00,11.00
10/14,10,Y,10Y,23-24,7.00,7.00
10/15,10,Y,10Y,24-25,12.00,12.00
10/16,10,Y,10Y,25-26,27.00,2.00
10/17,10,Y,10Y,26-27,11.50,7.75
10/18,10,Y,10Y,28-29,7.50,7.50
10/19,10,Y,10Y,25-38,23.50,3.50
10/20,10,Y,10Y,39-40,5.50,4.50
10/21,10,Y,10Y,40-41,2.00,2.00
10/22,10,Y,10Y,41-42,2.00,2.00
10/23,10,Y,10Y,42-43,2.00,2.00
10/24,10,Y,10Y,43-44,3.00,3.00
10/25,10,Y,10Y,47-48,3.00,3.00
10/26,10,Y,10Y,50-51,2.50,2.50
10/27,10,Y,10Y,52-53,6.00,6.00
10/28,10,Y,10Y,53-54,4.50,4.50
11/1,11,X,11X,53.5-56,34.00,34.00
11/2,11,X,11X,56-59,40.50,40.50
11/3,11,X,11X,59-60.5,26.00,26.00
11/4,11,X,11X,62-63,48.50,48.50
11/5,11,X,11X,65-66,36.00,31.00
11/6,11,X,11X,66-68,41.00,41.00
11/9,11,Y,11Y,90-91,30.50,30.50
12/1,12,,,10-11,27.50,27.50
12/2,12,,,14.5-15,18.50,13.50
12/3,12,,,15.8-18,14.50,10.00
12/4,12,,,18-20,29.00,24.00
12/5,12,,,20-20.6,40.00,40.00
12/6,12,,,21-22.5,31.00,30.00
12/7,12,,,24-25,31.50,31.50
12/8,12,,,27-28,34.50,29.50
13/2,13,Y,13Y,27.5-28,33.50,23.50
13/3,13,Y,13Y,33.5-34.5,29.00,29.00
13/4,13,Y,13Y,34.5-35.5,31.00,31.00
13/5,13,Y,13Y,35-36.2,57.00,57.00
13/6,13,Y,13Y,35.5-36.5,53.50,53.50
13/7,13,Y,13Y,39.2-40.5,55.00,50.00
13/8,13,Y,13Y,41-41.5,11.00,11.00
13/9,13,Y,13Y,47-48,26.00,26.00
16/4,16,Y,16Y,21-22,31.00,28.00
16/5,16,Y,16Y,24-25,8.00,8.00
16/6,16,Y,16Y,34-35,20.50,20.50
