Easting,Northing
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
702091.15,735720.00
701568.36,733000.00
703579.09,737080.00
703579.09,737080.00
704946.38,737040.00
704946.38,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
707439.68,737040.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
704785.52,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
703297.59,733080.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
700241.29,733040.00
712345.84,733000.00
712345.84,733000.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
700281.50,733560.00
