"np","dist","gamma","dir.hor","dir.ver","id"
1,1,0.00223112,90,0,"var1"
2,2,0.001090445,90,0,"var1"
65538,1,0.000202005,90,0,"var1"
3,3,0.000677119999999999,90,0,"var1"
65539,2,0.00045,90,0,"var1"
131075,1,4.90050000000002e-05,90,0,"var1"
4,4,0.001090445,90,0,"var1"
65540,3,0.000202005,90,0,"var1"
131076,2,0,90,0,"var1"
196612,1,4.90050000000002e-05,90,0,"var1"
5,5,0.00243602,90,0,"var1"
65541,4,4.50000000000001e-06,90,0,"var1"
131077,3,0.000266805,90,0,"var1"
196613,2,0.0005445,90,0,"var1"
262149,1,0.000266805,90,0,"var1"
6,6,8.44999999999958e-07,90,0,"var1"
65542,5,0.002145125,90,0,"var1"
131078,4,0.00103058,90,0,"var1"
196614,3,0.000630125,90,0,"var1"
262150,2,0.00103058,90,0,"var1"
327686,1,0.002346125,90,0,"var1"
7,7,0.000729619999999999,90,0,"var1"
65543,6,0.00040898,90,0,"var1"
131079,5,3.61250000000001e-05,90,0,"var1"
196615,4,9.80000000000017e-07,90,0,"var1"
262151,3,3.61250000000001e-05,90,0,"var1"
327687,2,0.00049928,90,0,"var1"
393223,1,0.000680805000000001,90,0,"var1"
8,10,0.00073728,90,0,"var1"
65544,9,0.000403279999999999,90,0,"var1"
131080,8,3.4445e-05,90,0,"var1"
196616,7,1.28000000000003e-06,90,0,"var1"
262152,6,3.4445e-05,90,0,"var1"
327688,5,0.00049298,90,0,"var1"
393224,4,0.000688205000000001,90,0,"var1"
458760,3,2.00000000000011e-08,90,0,"var1"
9,11,0.001156805,90,0,"var1"
65545,10,0.000174845,90,0,"var1"
131081,9,9.79999999999978e-07,90,0,"var1"
196617,8,6.38450000000001e-05,90,0,"var1"
262153,7,9.79999999999978e-07,90,0,"var1"
327689,6,0.000235445,90,0,"var1"
393225,5,0.00109512,90,0,"var1"
458761,4,4.90049999999999e-05,90,0,"var1"
524297,1,4.70449999999999e-05,90,0,"var1"
